date,category,description,amount,account
2024-01-01,Groceries,Supermarket purchase,125.50,Checking
2024-01-02,Transportation,Gas station,45.00,Credit Card
2024-01-03,Utilities,Electric bill,150.75,Checking
2024-01-04,Dining,Restaurant dinner,85.20,Credit Card
2024-01-05,Entertainment,Movie tickets,32.00,Checking
2024-01-06,Groceries,Grocery store,98.35,Checking
2024-01-07,Healthcare,Pharmacy,45.60,HSA
2024-01-08,Transportation,Uber ride,18.50,Credit Card
2024-01-09,Shopping,Clothing store,156.00,Credit Card
2024-01-10,Utilities,Internet bill,79.99,Checking
2024-01-11,Dining,Lunch with friends,42.75,Credit Card
2024-01-12,Groceries,Farmers market,67.50,Checking
2024-01-13,Entertainment,Concert tickets,120.00,Credit Card
2024-01-14,Transportation,Gas station,48.30,Credit Card
2024-01-15,Healthcare,Doctor visit,200.00,HSA
2024-01-16,Utilities,Water bill,55.25,Checking
2024-01-17,Dining,Coffee shop,12.50,Checking
2024-01-18,Shopping,Electronics,299.99,Credit Card
2024-01-19,Groceries,Supermarket,110.85,Checking
2024-01-20,Entertainment,Streaming service,14.99,Credit Card
